logVol,logPrice,Fshare,week,Q2,Q3,Q4
8.21899884,-1.53472467,0.244621237,1,0,0,0
8.411629347,-1.590500064,0.381253593,2,0,0,0
8.200307112,-1.450586713,0.367143467,3,0,0,0
8.13001563,-1.632833483,0.239636491,4,0,0,0
8.263814135,-1.567854538,0.248352055,5,0,0,0
8.310275788,-1.6181052,0.444434133,6,0,0,0
9.331399054,-2.062722858,0.750994504,7,0,0,0
8.25149465,-1.544950212,0.319195636,8,0,0,0
7.964027302,-1.450544998,0.494572367,9,0,0,0
8.036708001,-1.460377718,0.267270251,10,0,0,0
8.275063273,-1.580773528,0.402546053,11,0,0,0
7.976106477,-1.57598193,0.071316522,12,0,0,0
7.920951781,-1.519947107,0.345685627,13,0,0,0
8.206743467,-1.520533018,0.0655998,14,1,0,0
8.332794612,-1.665608838,0.380759171,15,1,0,0
8.249864629,-1.618877859,0.166108986,16,1,0,0
8.38838422,-1.625539113,0.413669875,17,1,0,0
8.212661403,-1.551817404,0.262998091,18,1,0,0
8.292708871,-1.685059185,0.438514186,19,1,0,0
8.148930402,-1.551430056,0.094135913,20,1,0,0
8.432076737,-1.630159865,0.419833687,21,1,0,0
8.58038661,-1.712287339,0.161312568,22,1,0,0
8.264826276,-1.666085667,0.019727803,23,1,0,0
8.237041129,-1.607400503,0.26157593,24,1,0,0
8.049084511,-1.645725568,0.35840202,25,1,0,0
8.286832781,-1.681913822,0.149032998,26,1,0,0
8.337262104,-1.573873855,0.255712987,27,0,1,0
8.617257082,-1.60543913,0.314993174,28,0,1,0
8.752241692,-1.85859548,0.624481793,29,0,1,0
8.190672746,-1.574206035,0.216033945,30,0,1,0
7.958431677,-1.534892548,0.161337622,31,0,1,0
8.327821109,-1.614026864,0.136921837,32,0,1,0
8.211594795,-1.62678959,0.284963606,33,0,1,0
8.078837787,-1.515363151,0.205407583,34,0,1,0
8.165932674,-1.462756831,0.174759978,35,0,1,0
8.14533957,-1.59515964,0.069283966,36,0,1,0
7.919562,-1.539490312,0.000677278,37,0,1,0
7.983255036,-1.546463847,0.518056104,38,0,1,0
8.105874189,-1.633187921,0.393056822,39,0,1,0
8.345365118,-1.577814879,0.412165163,40,0,0,1
8.295141791,-1.690114542,0.164555393,41,0,0,1
8.144642536,-1.647988216,0.244002374,42,0,0,1
8.39913549,-1.60438095,0.07680161,43,0,0,1
8.197584901,-1.681391825,0.071996809,44,0,0,1
9.053434368,-1.991371278,0.716031694,45,0,0,1
8.084150671,-1.505872154,0.123410492,46,0,0,1
8.149186686,-1.665559592,0.112845786,47,0,0,1
8.154020675,-1.661311254,0.105897737,48,0,0,1
8.539165133,-1.697496239,0.334293686,49,0,0,1
7.91603399,-1.590958439,0.202577901,50,0,0,1
8.083045567,-1.616387755,0.064089909,51,0,0,1
8.062441751,-1.641828122,0.109267845,52,0,0,1
8.080260809,-1.612080832,0.208171704,53,0,0,0
8.265038021,-1.596568378,0.131950184,54,0,0,0
8.119530194,-1.586802966,0.331286264,55,0,0,0
8.355523292,-1.689623038,0.195282691,56,0,0,0
8.041517898,-1.58735761,0.160762611,57,0,0,0
8.038160507,-1.64896065,0.265332407,58,0,0,0
7.702922978,-1.630846654,0.191306263,59,0,0,0
7.988284789,-1.638446742,0.147831041,60,0,0,0
8.11591778,-1.774923758,0.481422685,61,0,0,0
8.267877659,-1.66091671,0.350623505,62,0,0,0
8.115128499,-1.648408512,0.071709362,63,0,0,0
8.146736144,-1.631519877,0.215079401,64,0,0,0
8.087070796,-1.520721907,0.093122092,65,0,0,0
8.202046892,-1.480428439,0.038731514,66,1,0,0
8.122907867,-1.618275441,0.24309773,67,1,0,0
7.895873744,-1.506640296,0.000192861,68,1,0,0
7.959173236,-1.590368744,0.372128531,69,1,0,0
8.830973127,-1.961979466,0.064401696,70,1,0,0
7.614057992,-1.459943274,0.151111701,71,1,0,0
7.693663614,-1.516715847,0.170838077,72,1,0,0
7.731357751,-1.493990616,0.005999683,73,1,0,0
